,label
Ses01M_impro06_F021,neutral
Ses01M_impro06_F022,neutral
Ses01M_impro06_F023,neutral
Ses01M_impro06_F024,neutral
Ses01M_impro06_F025,neutral
Ses01M_impro06_F026,neutral
Ses01M_impro06_F027,neutral
Ses01M_impro06_F028,neutral
Ses01M_impro06_M000,sadness
Ses01M_impro06_M001,sadness
Ses01M_impro06_M002,sadness
Ses01M_impro06_M003,sadness
Ses01M_impro06_M004,sadness
Ses01M_impro06_M005,sadness
Ses01M_impro06_M006,sadness
Ses01M_impro06_M007,sadness
Ses01M_impro06_M008,sadness
Ses01M_impro06_M009,sadness
Ses01M_impro06_M010,sadness
Ses01M_impro06_M011,sadness
Ses01M_impro06_M012,sadness
Ses01M_impro06_M013,sadness
Ses01M_impro06_M014,sadness
Ses01M_impro06_M015,sadness
Ses01M_impro06_M016,sadness
Ses01M_impro06_M017,sadness
Ses01M_impro06_M018,sadness
Ses01M_impro06_M019,sadness
Ses01M_impro06_M020,sadness
Ses01M_impro06_M021,sadness
Ses01M_impro06_M022,sadness
Ses01M_impro06_M023,sadness
Ses01M_impro06_M024,sadness
Ses01M_impro06_M025,sadness
Ses01M_impro06_M026,sadness
Ses01M_impro06_M027,sadness
Ses01M_impro06_M028,sadness
Ses01M_impro06_M029,sadness
Ses01M_impro06_M030,sadness
Ses01M_impro07_F000,neutral
Ses01M_impro07_F001,happiness
Ses01M_impro07_F003,happiness
Ses01M_impro07_F004,happiness
Ses01M_impro07_F005,happiness
Ses01M_impro07_F006,happiness
Ses01M_impro07_F007,happiness
Ses01M_impro07_F008,happiness
Ses01M_impro07_F009,happiness
Ses01M_impro07_F010,neutral
Ses01M_impro07_F011,happiness
Ses01M_impro07_F012,neutral
Ses01M_impro07_F013,happiness
Ses01M_impro07_F014,happiness
Ses01M_impro07_F015,happiness
Ses01M_impro07_F016,happiness
Ses01M_impro07_F018,happiness
Ses01M_impro07_F020,neutral
Ses01M_impro07_F021,happiness
Ses01M_impro07_F022,happiness
Ses01M_impro07_F023,happiness
Ses01M_impro07_F024,happiness
Ses01M_impro07_F025,happiness
Ses01M_impro07_F026,happiness
Ses01M_impro07_F027,happiness
Ses01M_impro07_F033,happiness
Ses01M_impro07_F034,happiness
Ses01M_impro07_M000,happiness
Ses01M_impro07_M001,happiness
Ses01M_impro07_M002,happiness
Ses01M_impro07_M003,happiness
Ses01M_impro07_M004,happiness
Ses01M_impro07_M005,happiness
Ses01M_impro07_M006,happiness
Ses01M_impro07_M007,happiness
Ses01M_impro07_M008,happiness
Ses01M_impro07_M009,happiness
Ses01M_impro07_M010,happiness
Ses01M_impro07_M011,happiness
Ses01M_impro07_M013,happiness
Ses01M_impro07_M017,happiness
Ses01M_impro07_M018,happiness
Ses01M_impro07_M019,happiness
Ses01M_impro07_M020,neutral
Ses01M_impro07_M024,happiness
Ses01M_impro07_M026,neutral
Ses01M_impro07_M030,neutral
Ses01M_impro07_M032,happiness
Ses01M_impro07_M033,happiness
Ses01M_script01_1_F004,sadness
Ses01M_script01_1_F005,sadness
Ses01M_script01_1_F006,sadness
Ses01M_script01_1_F008,anger
Ses01M_script01_1_F011,anger
Ses01M_script01_1_F014,anger
Ses01M_script01_1_F015,anger
Ses01M_script01_1_F016,anger
Ses01M_script01_1_F017,anger
Ses01M_script01_1_F020,anger
Ses01M_script01_1_F023,anger
Ses01M_script01_1_F024,anger
Ses01M_script01_1_F025,neutral
Ses01M_script01_1_F026,neutral
Ses01M_script01_1_F029,anger
Ses01M_script01_1_F030,anger
Ses01M_script01_1_F031,sadness
Ses01M_script01_1_F032,anger
Ses01M_script01_1_F035,anger
Ses01M_script01_1_F036,anger
Ses01M_script01_1_F037,anger
Ses01M_script01_1_F039,anger
Ses01M_script01_1_F040,anger
Ses01M_script01_1_F041,anger
Ses01M_script01_1_F042,anger
Ses01M_script01_1_F043,anger
Ses01M_script01_1_M000,neutral
